unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
19,1.6134453781512605,6,24,0,0,0,2,0,0,6,0,2,4,12,0,9,4,4,3,1,9,0,1,0,54.63949427629726,53.92
20,1.61864406779661,6,24,0,0,0,2,0,0,6,0,2,3,10,0,8,5,4,4,1,8,0,1,0,54.523760700150774,53.88
19,1.6218487394957983,6,24,0,0,0,2,0,0,6,0,2,3,10,0,9,3,4,5,1,8,0,1,0,54.67469499737698,53.79
17,2.0,18,11,0,1,0,0,0,0,0,0,0,2,30,6,10,7,4,0,1,2,0,0,0,46.364752108652056,53.76
19,1.5833333333333333,10,19,1,0,0,2,0,0,1,0,1,3,22,2,4,3,4,3,5,9,1,1,0,51.44157607141473,53.71
19,1.576086956521739,5,24,1,0,0,7,0,0,0,0,1,5,15,4,0,12,0,6,0,8,32,1,0,51.02657045771918,53.67
20,1.5662650602409638,14,16,0,0,0,2,0,0,2,0,1,0,18,1,10,6,2,2,2,7,0,1,0,49.91164598317895,53.6
19,1.59375,5,24,1,0,0,8,0,0,0,0,1,5,15,4,0,11,0,6,0,9,32,1,0,51.446110932228,53.58
20,1.6224489795918366,5,24,1,0,0,8,0,0,0,0,1,4,16,4,0,10,0,7,0,9,32,1,0,51.608146204139956,53.53
17,1.5555555555555556,10,19,1,0,0,7,0,0,0,0,0,2,19,4,4,4,2,4,4,8,1,0,0,49.807476780927345,53.48
17,1.5590551181102361,6,24,0,0,0,2,0,0,7,0,1,2,10,0,9,2,4,3,1,11,0,1,0,54.875638123894575,53.45
18,1.5357142857142858,10,20,0,0,0,0,0,0,1,0,1,3,21,2,3,6,4,5,2,8,3,1,0,51.06965030087156,53.41
18,1.690909090909091,17,13,0,0,0,0,0,0,2,0,0,2,19,2,6,6,5,2,2,7,0,0,0,48.7746319839383,53.41
17,2.1818181818181817,17,12,0,1,0,2,0,0,0,0,0,0,27,4,10,10,5,0,1,0,0,0,0,45.55636134942539,53.34
18,1.5875,14,16,0,0,0,2,0,0,2,0,1,0,18,1,11,6,2,1,2,7,0,1,0,49.74977981072429,53.27
19,1.4841269841269842,4,26,0,0,0,2,0,0,3,0,1,1,11,2,7,6,3,3,0,9,3,1,0,52.95648271611264,53.2
18,1.6020408163265305,10,19,1,0,0,4,0,0,1,0,1,2,20,2,4,2,4,3,5,10,0,1,0,51.76995769620626,53.19
18,1.5819672131147542,4,26,0,0,0,2,0,0,6,0,1,3,13,2,9,4,4,3,0,8,3,1,0,54.4175001563251,53.06
19,1.6470588235294117,6,24,0,0,0,2,0,0,6,0,2,2,10,0,9,4,4,3,1,9,0,1,0,54.12001823566024,53.01
19,1.6891891891891893,10,19,1,0,0,4,0,0,1,0,1,3,20,4,4,3,2,5,5,7,3,1,0,50.9923636183187,53.01
17,1.4414414414414414,6,24,0,0,0,2,0,0,3,0,1,0,9,0,9,8,2,2,0,9,0,1,0,52.84340322961756,52.92
19,1.56,4,26,0,0,0,2,0,0,5,0,1,2,7,0,9,7,4,2,1,7,0,1,0,53.40888456175059,52.92
19,1.5811965811965811,7,23,0,0,0,2,0,0,6,0,2,4,13,0,8,4,4,3,1,10,0,1,0,54.72773321467301,52.85
19,1.5568181818181819,9,21,0,0,0,0,0,0,1,0,1,3,20,2,3,6,5,5,2,7,3,1,0,50.67615818158888,52.85
19,1.8428571428571427,8,22,0,0,0,2,0,0,0,0,2,6,18,10,0,13,0,5,0,2,32,0,0,49.73148692521277,52.75
17,2.096774193548387,17,12,0,1,0,3,0,0,0,0,0,0,30,4,11,10,4,0,1,0,0,0,0,45.20274252310197,52.71
18,1.543859649122807,6,24,0,0,0,2,0,0,5,0,1,2,8,0,8,6,4,4,1,7,0,1,0,53.57074158664291,52.61
19,1.7093023255813953,10,19,1,0,0,2,0,0,7,0,1,2,14,2,2,4,6,5,3,8,0,1,0,52.43950624317596,52.53
19,1.5892857142857142,7,23,0,0,0,2,0,0,5,0,2,4,12,0,8,4,4,4,1,9,0,1,0,54.711851521322934,52.53
17,2.161290322580645,17,12,0,1,0,3,0,0,0,0,0,0,28,4,11,10,4,0,1,0,0,0,0,45.38094567395067,52.53
19,1.5348837209302326,11,19,0,0,0,2,0,0,0,0,1,3,22,2,3,8,3,4,2,8,7,1,0,51.60939727726502,52.51
18,1.5176470588235293,10,19,1,0,0,4,0,0,0,0,1,2,18,2,2,5,4,3,5,9,0,1,0,51.52058102904541,52.46
18,1.5779816513761469,6,24,0,0,0,2,0,0,6,0,1,4,10,0,8,8,4,3,0,7,0,1,0,54.24972984489218,52.41
18,1.7727272727272727,10,19,1,0,0,2,0,0,9,0,1,2,14,2,2,4,6,5,2,9,0,1,0,52.32847172644765,52.4
18,1.5158730158730158,4,26,0,0,0,2,0,0,5,0,1,5,17,2,7,6,4,1,2,8,7,1,0,54.73491994511956,52.38
18,1.8194444444444444,7,22,1,0,0,2,0,0,0,0,2,6,17,10,0,11,0,6,0,3,32,0,0,50.28527498796549,52.37
18,1.596638655462185,6,24,0,0,0,2,0,0,6,0,2,4,12,0,9,4,4,3,1,9,0,1,0,54.88344717673805,52.24
18,1.6063829787234043,11,19,0,0,0,2,0,0,6,0,1,2,15,0,8,6,2,4,2,8,0,1,0,51.8261002253925,52.23
19,1.5783132530120483,14,16,0,0,0,2,0,0,2,0,1,0,18,1,10,6,2,2,2,7,0,1,0,49.96785869151024,52.22
21,1.569767441860465,5,24,1,0,0,5,0,0,0,0,1,5,15,5,0,12,0,6,0,7,32,1,0,50.67143081675806,52.17
19,1.6065573770491803,6,24,0,0,0,2,0,0,6,0,2,2,10,0,8,4,4,4,1,9,0,1,0,54.79323327600739,52.16
18,1.528,4,26,0,0,0,2,0,0,5,0,1,5,16,2,7,6,4,1,2,8,7,1,0,54.81643603721561,52.07
18,1.6271186440677967,17,13,0,0,0,0,0,0,2,0,1,2,20,2,5,5,6,3,2,7,0,1,0,49.095909390551675,52.07
18,1.61864406779661,6,24,0,0,0,2,0,0,6,0,1,4,12,0,8,4,7,2,0,9,0,1,0,54.422868460157005,51.76
20,1.652542372881356,6,24,0,0,0,2,0,0,6,0,2,3,10,0,8,5,4,4,1,8,0,1,0,54.05223971992938,51.75
17,1.556390977443609,2,28,0,0,2,4,2,2,8,2,5,6,11,2,7,4,4,3,3,7,1,1,0,53.36617645494227,51.73
19,1.631578947368421,10,20,0,0,0,0,0,0,1,0,3,3,21,2,5,6,4,4,4,5,7,1,0,50.15513292750643,51.68
18,1.4782608695652173,5,25,0,0,0,2,0,0,3,0,1,1,11,2,8,7,4,1,0,8,3,1,0,52.55553593722987,51.65
18,1.6,6,24,0,0,0,2,0,0,3,0,1,0,9,0,10,8,4,1,0,7,0,1,0,51.51730298705927,51.35
15,1.8717948717948718,8,22,0,0,0,22,0,0,0,0,0,0,20,6,6,2,10,4,2,0,1,0,0,47.855450419718245,51.33
